Name,Emoji,Kategorie,Preis (Euro),Einheit,Kalorien (kcal/100g),Protein (g/100g),Kohlenhydrate (g/100g),Fett (g/100g)
"Knollensellerie","🥬","Gemüse","1.49","Stück","42","1.5","8","0.3"
"Kohlrabi","🥦","Gemüse","0.59","Stück","27","1.8","4","0.1"
"Grüne Bohnen","🫘","Gemüse","1.49","500g","31","1.9","5.4","0.2"
"Erbsen","🫘","Gemüse","1.79","500g","81","5.4","12","0.4"
"Zuckerschoten","🫘","Gemüse","1.99","200g","42","2.8","6.5","0.4"
"Edamame","🫘","Gemüse","2.49","450g","122","11","10","5.2"
"Spargel weiß","🌿","Gemüse","3.99","500g","18","1.9","2.2","0.1"
"Spargel grün","🌿","Gemüse","3.49","500g","20","2.2","2.4","0.2"
"Artischocken","🌿","Gemüse","1.99","Stück","47","3.3","7.5","0.2"
"Rote Bete","🥗","Gemüse","0.89","500g","43","1.6","9.6","0.1"
"Rettich","🥗","Gemüse","0.69","Stück","16","1","2.8","0.1"
"Radieschen","🥗","Gemüse","0.49","Bund","16","0.8","2.6","0.1"
"Pak Choi","🥬","Gemüse","1.29","Stück","13","1.5","1.2","0.2"
"Mangold","🥬","Gemüse","1.49","Bund","19","1.8","2.2","0.2"
"Fenchel","🌿","Gemüse","0.99","Stück","31","1.2","5.5","0.2"
"Hokkaido Kürbis","🎃","Gemüse","1.49","Stück","40","1","9","0.1"
"Butternut Kürbis","🎃","Gemüse","1.99","Stück","45","1","11","0.1"
"Kürbis","🎃","Gemüse","1.29","1kg","26","1","6","0.1"
"Pastinaken","🥕","Gemüse","1.49","500g","75","1.3","17","0.3"
"Topinambur","🥔","Gemüse","1.99","500g","73","2","17","0"
"Chicorée","🥗","Gemüse","0.89","Stück","17","0.9","2.6","0.2"
"Meerrettich","🌿","Gemüse","0.89","Stück","59","1.5","12","0.7"
"Petersilie","🌿","Gemüse","0.49","Bund","36","3","4","0.8"
"Schnittlauch","🌿","Gemüse","0.49","Bund","30","3.3","2.4","0.7"
"Dill","🌿","Gemüse","0.49","Bund","43","3.5","4.7","1.1"
"Basilikum frisch","🌿","Gemüse","0.99","Topf","22","3.2","0.6","0.6"
"Minze frisch","🌿","Gemüse","0.99","Bund","44","3.3","6.1","0.7"
"Koriander frisch","🌿","Gemüse","0.59","Bund","23","2.1","2.1","0.5"
"Ingwer","🫚","Gemüse","0.49","Stück","80","1.8","18","0.8"
"Kurkuma frisch","🫚","Gemüse","0.99","Stück","87","1","21","0.9"
"Lemongrass","🌿","Gemüse","0.99","Stück","99","1.8","25","0.5"
"Maiskölbchen","🌽","Gemüse","1.29","Glas","23","1.8","2.7","0.4"
"Portulak","🥗","Gemüse","1.49","100g","20","1.7","2.5","0.4"
"Wasserkresse","🥗","Gemüse","1.29","80g","32","2.6","4","0.7"
"Äpfel","🍎","Obst","1.99","1kg","52","0.3","13","0.2"
"Birnen","🍐","Obst","1.99","1kg","57","0.4","14","0.1"
"Bananen","🍌","Obst","1.49","1kg","89","1.1","23","0.2"
"Orangen","🍊","Obst","1.99","1kg","47","0.9","10","0.2"
"Mandarinen","🍊","Obst","1.79","1kg","53","0.7","13","0.3"
"Clementinen","🍊","Obst","1.99","1kg","47","0.9","10","0.2"
"Zitrone","🍋","Obst","0.39","Stück","29","0.9","6.5","0.3"
"Limette","🍋","Obst","0.39","Stück","30","0.7","8","0.2"
"Grapefruit","🍊","Obst","0.79","Stück","33","0.7","7.5","0.1"
"Pomelo","🍊","Obst","1.49","Stück","38","0.8","8.5","0.1"
"Erdbeeren","🍓","Obst","2.99","500g","32","0.7","7.6","0.3"
"Himbeeren","🫐","Obst","1.99","150g","52","1.2","11","0.7"
"Blaubeeren","🫐","Obst","2.49","250g","57","0.7","14","0.3"
"Brombeeren","🫐","Obst","2.49","150g","43","1.4","8.1","0.5"
"Johannisbeeren rot","🍒","Obst","1.99","250g","33","1.1","5.9","0.2"
"Stachelbeeren","🍈","Obst","1.99","250g","44","0.9","9.7","0.6"
"Kirschen","🍒","Obst","3.99","500g","63","1.1","14","0.2"
"Sauerkirschen","🍒","Obst","3.49","500g","50","1","12","0.3"
"Pfirsich","🍑","Obst","1.99","500g","39","0.9","9.5","0.3"
"Nektarinen","🍑","Obst","1.99","500g","44","1.1","10","0.3"
"Aprikosen","🍑","Obst","2.49","500g","48","1.4","10","0.4"
"Pflaumen","🍇","Obst","1.99","500g","46","0.7","11","0.3"
"Zwetschgen","🍇","Obst","1.99","500g","47","0.7","11","0.2"
"Trauben blau","🍇","Obst","2.49","500g","67","0.6","17","0.3"
"Trauben grün","🍇","Obst","2.49","500g","67","0.6","17","0.3"
"Avocado","🥑","Obst","0.99","Stück","160","2","1.8","15"
"Mango","🥭","Obst","1.29","Stück","60","0.8","15","0.4"
"Ananas","🍍","Obst","1.99","Stück","50","0.5","13","0.1"
"Papaya","🍈","Obst","1.99","Stück","43","0.5","11","0.3"
"Wassermelone","🍉","Obst","3.99","Stück","30","0.6","7","0.2"
"Honigmelone","🍈","Obst","2.49","Stück","36","0.9","8.2","0.1"
"Cantaloupe","🍈","Obst","2.49","Stück","34","0.8","7.9","0.2"
"Kiwi","🥝","Obst","0.49","Stück","61","1.1","14","0.5"
"Feigen","🍈","Obst","2.99","500g","74","0.8","19","0.3"
"Granatapfel","🍎","Obst","1.99","Stück","83","1.7","18","1.2"
"Passionsfrucht","🍈","Obst","0.79","Stück","97","2.2","23","0.7"
"Physalis","🫐","Obst","1.99","100g","53","1.9","11","0.7"
"Datteln","🌴","Obst","2.99","200g","277","1.8","75","0.2"
"Litschi","🍈","Obst","2.49","250g","66","0.8","16","0.4"
"Kokosnuss","🥥","Obst","1.99","Stück","354","3.3","15","33"
"Drachenfrucht","🍓","Obst","3.49","Stück","50","1.1","11","0.4"
"Vollmilch 3,5%","🥛","Milch","1.09","1L","64","3.4","4.7","3.5"
"Fettarme Milch 1,5%","🥛","Milch","1.09","1L","47","3.4","4.7","1.5"
"Magermilch 0,3%","🥛","Milch","0.99","1L","34","3.4","4.8","0.3"
"Hafermilch","🥛","Milch","1.49","1L","45","1","6.5","1.5"
"Mandelmilch","🥛","Milch","1.79","1L","24","0.5","3","1.1"
"Sojamilch","🥛","Milch","1.49","1L","39","3.3","2.5","1.8"
"Reismilch","🥛","Milch","1.49","1L","47","0.3","9.7","1"
"Kokosmilch Drink","🥛","Milch","1.99","1L","23","0.2","2.4","1.5"
"Joghurt natur","🍮","Milch","0.79","500g","59","3.5","4.7","3.6"
"Joghurt 0,1%","🍮","Milch","0.89","500g","37","4.8","4.5","0.1"
"Griechischer Joghurt","🍮","Milch","1.29","400g","97","5.7","3.4","7"
"Skyr","🍮","Milch","1.49","450g","59","10","3.7","0.2"
"Kefir","🥛","Milch","0.99","500g","61","3.3","4.5","3.2"
"Buttermilch","🥛","Milch","0.79","500g","35","3.3","3.5","0.5"
"Quark mager","🍦","Milch","0.99","500g","67","13","3.2","0.2"
"Quark 20%","🍦","Milch","0.99","500g","100","11","3.2","4"
"Sahne 30%","🥛","Milch","0.89","200ml","291","2.1","3.1","31"
"Saure Sahne","🥛","Milch","0.69","200g","125","3.2","3.5","12"
"Schmand","🥛","Milch","0.89","200g","235","2.4","3.5","24"
"Crème fraîche","🥛","Milch","0.99","200g","292","2.1","3.5","31"
"Kondensmilch","🥛","Milch","0.89","340g","321","8","56","8.5"
"Kaffeesahne","🥛","Milch","0.79","200g","130","3","4","12"
"Frischkäse","🧀","Milch","1.29","200g","244","7","3.8","24"
"Hüttenkäse","🧀","Milch","1.09","200g","98","12","3.4","4.3"
"Ricotta","🧀","Milch","1.49","250g","134","9","3.5","10"
"Mascarpone","🧀","Milch","1.79","250g","411","4.6","2.5","44"
"Mozzarella","🧀","Milch","0.99","125g","248","18","0.5","20"
"Gouda","🧀","Milch","1.79","400g","356","24","0.5","29"
"Emmentaler","🧀","Milch","1.99","400g","380","28","0.4","29"
"Edam","🧀","Milch","1.79","400g","319","26","0.4","24"
"Camembert","🧀","Milch","1.29","200g","299","19","0.5","25"
"Brie","🧀","Milch","1.99","200g","334","20","0.5","28"
"Feta","🧀","Milch","1.49","200g","264","14","0.5","23"
"Parmesan","🧀","Milch","2.49","100g","392","36","0","26"
"Bergkäse","🧀","Milch","2.49","200g","380","25","0.5","31"
"Tilsiter","🧀","Milch","1.79","400g","334","25","0.5","27"
"Schmelzkäse","🧀","Milch","0.99","200g","243","13","5.5","19"
"Edamer in Scheiben","🧀","Milch","1.49","150g","319","26","0.4","24"
"Butter","🧈","Milch","1.89","250g","740","0.7","0.5","83"
"Margarine","🧈","Milch","1.09","250g","720","0.1","0.2","80"
"Butterschmalz","🧈","Milch","2.29","250g","900","0.1","0.1","99"
"Hähnchenbrust","🍗","Fleisch","5.99","1kg","110","23","0","1.5"
"Hähnchenschenkel","🍗","Fleisch","3.99","1kg","177","18","0","11"
"Hähnchenflügel","🍗","Fleisch","3.49","1kg","203","18","0","14"
"Hähnchen ganz","🍗","Fleisch","4.99","Stück","165","19","0","9.7"
"Putenbrust","🍗","Fleisch","6.99","1kg","107","24","0","0.8"
"Putenschnitzel","🍗","Fleisch","5.99","500g","107","24","0","0.8"
"Putenfilet","🍗","Fleisch","7.99","1kg","107","24","0","0.8"
"Rinderhack","🥩","Fleisch","5.99","500g","242","20","0","18"
"Rindersteak","🥩","Fleisch","12.99","500g","190","26","0","9.5"
"Rinderbraten","🥩","Fleisch","7.99","1kg","220","23","0","13"
"Rindergulasch","🥩","Fleisch","8.99","1kg","190","22","0","11"
"Rinderfilet","🥩","Fleisch","24.99","1kg","150","21","0","7"
"Rinderleber","🥩","Fleisch","3.99","500g","130","20","3.8","3.8"
"Schweinehack","🥩","Fleisch","3.99","500g","260","18","0","21"
"Schweineschnitzel","🥩","Fleisch","5.99","500g","143","22","0","6.5"
"Schweinekotelett","🥩","Fleisch","4.99","500g","215","22","0","14"
"Schweinefilet","🥩","Fleisch","7.99","500g","143","22","0","6.5"
"Schweinenacken","🥩","Fleisch","4.49","1kg","268","20","0","21"
"Schweinebauch","🥩","Fleisch","3.99","1kg","518","14","0","52"
"Schweineschulter","🥩","Fleisch","3.49","1kg","220","20","0","15"
"Lammkeule","🥩","Fleisch","14.99","1kg","250","22","0","18"
"Lammkotelett","🥩","Fleisch","12.99","500g","294","19","0","24"
"Lammhack","🥩","Fleisch","7.99","500g","282","18","0","23"
"Entenbrust","🦆","Fleisch","9.99","500g","337","19","0","29"
"Gänsekeule","🦢","Fleisch","7.99","Stück","381","23","0","32"
"Bratwurst","🌭","Fleisch","2.99","4 Stück","301","12","2","28"
"Wiener Würstchen","🌭","Fleisch","1.99","250g","301","11","2.4","28"
"Frankfurter","🌭","Fleisch","1.99","250g","290","12","1.5","27"
"Weißwurst","🌭","Fleisch","2.49","2 Stück","250","13","2","22"
"Lyoner","🥩","Fleisch","1.49","250g","230","13","2","20"
"Fleischwurst","🥩","Fleisch","1.29","250g","295","12","2.5","28"
"Bierschinken","🥩","Fleisch","1.49","200g","175","14","2","13"
"Salami","🥩","Fleisch","1.99","200g","450","21","1.5","41"
"Chorizo","🥩","Fleisch","2.49","200g","455","24","1.5","40"
"Schinken gekocht","🥩","Fleisch","1.99","200g","107","17","0.5","4"
"Schwarzwälder Schinken","🥩","Fleisch","2.49","100g","180","22","0","10"
"Serrano Schinken","🥩","Fleisch","3.99","100g","180","30","0","7"
"Prosciutto","🥩","Fleisch","3.99","80g","269","28","0","17"
"Leberwurst","🥩","Fleisch","1.29","200g","330","13","3","30"
"Blutwurst","🥩","Fleisch","1.29","200g","280","12","2.5","25"
"Mettwurst","🥩","Fleisch","1.49","200g","420","20","0.5","38"
"Teewurst","🥩","Fleisch","1.49","125g","440","18","1","40"
"Mortadella","🥩","Fleisch","1.29","200g","311","13","2","28"
"Speck","🥓","Fleisch","2.49","200g","540","19","0.5","53"
"Bacon","🥓","Fleisch","2.49","150g","541","37","0","45"
"Hackfleisch gemischt","🥩","Fleisch","3.49","500g","242","20","0","20"
"Lachs frisch","🐟","Fisch","6.99","500g","208","20","0","13"
"Lachs geräuchert","🐟","Fisch","3.99","200g","179","20","0","11"
"Thunfisch Dose","🐠","Fisch","1.49","Dose","116","25","0","1"
"Thunfisch frisch","🐠","Fisch","7.99","300g","132","29","0","1"
"Hering","🐟","Fisch","2.49","500g","203","18","0","14"
"Bismarckhering","🐟","Fisch","1.99","200g","180","17","4","11"
"Makrele","🐟","Fisch","2.49","300g","205","19","0","14"
"Forelle","🐟","Fisch","4.99","Stück","119","20","0","4.3"
"Kabeljau","🐟","Fisch","5.99","500g","82","18","0","0.7"
"Seelachs","🐟","Fisch","3.99","500g","91","19","0","1.5"
"Scholle","🐟","Fisch","4.99","500g","91","18","0","2"
"Pangasius","🐟","Fisch","3.99","500g","90","15","0","3"
"Tilapia","🐟","Fisch","4.99","500g","128","26","0","2.7"
"Wolfsbarsch","🐟","Fisch","8.99","Stück","97","19","0","2"
"Dorade","🐟","Fisch","6.99","Stück","115","20","0","3.5"
"Sardinen Dose","🐟","Fisch","1.29","Dose","208","25","0","12"
"Garnelen roh","🦐","Fisch","6.99","500g","71","15","0","1"
"Garnelen gekocht","🦐","Fisch","5.99","300g","99","21","0","1.7"
"Miesmuscheln","🐚","Fisch","3.99","1kg","86","12","3.7","2.2"
"Jakobsmuscheln","🐚","Fisch","9.99","300g","88","17","3.2","0.8"
"Tintenfisch","🦑","Fisch","4.99","500g","92","16","3.1","1.4"
"Oktopus","🐙","Fisch","6.99","500g","82","15","2.2","1"
"Krabben","🦀","Fisch","5.99","200g","97","17","0","3"
"Weißbrot","🍞","Brot","1.79","500g","265","8","52","2"
"Vollkornbrot","🍞","Brot","1.99","500g","209","8","40","2.5"
"Roggenbrot","🍞","Brot","1.79","500g","200","6.5","40","1"
"Mischbrot","🍞","Brot","1.99","500g","220","7.5","44","1.5"
"Dinkelbrot","🍞","Brot","2.49","500g","230","8.5","44","2"
"Pumpernickel","🍞","Brot","1.49","500g","190","6.5","39","1"
"Schwarzbrot","🍞","Brot","1.99","500g","200","7","40","1.2"
"Bauernbrot","🍞","Brot","2.49","Stück","220","7.5","44","1.5"
"Toast weiß","🍞","Brot","1.19","500g","265","8","48","3.5"
"Toast Vollkorn","🍞","Brot","1.29","500g","230","9","43","3"
"Brötchen weiß","🥐","Brot","0.19","Stück","270","9","52","2"
"Vollkornbrötchen","🥐","Brot","0.25","Stück","240","9.5","44","2.5"
"Laugenbrezel","🥨","Brot","0.39","Stück","263","8.5","53","1.5"
"Laugenstange","🥖","Brot","0.59","Stück","260","9","51","2"
"Croissant","🥐","Brot","0.89","Stück","406","6.5","42","24"
"Baguette","🥖","Brot","0.99","Stück","260","9","52","1.5"
"Ciabatta","🥖","Brot","1.49","Stück","263","9","51","2.5"
"Pita Brot","🫓","Brot","1.29","6 Stück","275","9","55","1.5"
"Tortilla","🫓","Brot","1.49","8 Stück","312","8.5","52","8"
"Naan","🫓","Brot","1.99","4 Stück","317","9.5","56","7.5"
"Bagel","🥯","Brot","1.99","4 Stück","245","9.5","47","1.5"
"Eier","🥚","Grundnahrung","2.19","10 St.","155","13","0.7","11"
"Bio Eier","🥚","Grundnahrung","3.49","6 St.","155","13","0.7","11"
"Spaghetti","🍝","Grundnahrung","0.89","500g","350","12","68","1.7"
"Penne","🍝","Grundnahrung","0.89","500g","350","12","68","1.7"
"Rigatoni","🍝","Grundnahrung","0.99","500g","350","12","68","1.7"
"Fusilli","🍝","Grundnahrung","0.99","500g","350","12","68","1.7"
"Farfalle","🍝","Grundnahrung","0.99","500g","350","12","68","1.7"
"Tagliatelle","🍝","Grundnahrung","1.29","500g","350","12","68","1.7"
"Lasagneblätter","🍝","Grundnahrung","1.29","500g","350","12","68","1.7"
"Vollkornnudeln","🍝","Grundnahrung","1.49","500g","330","13","65","2"
"Basmati Reis","🍚","Grundnahrung","1.99","1kg","355","7.9","77","0.6"
"Jasminreis","🍚","Grundnahrung","2.49","1kg","365","7.5","79","0.5"
"Langkornreis","🍚","Grundnahrung","1.49","1kg","360","7.5","77","0.7"
"Vollkornreis","🍚","Grundnahrung","1.79","1kg","350","8","72","2.5"
"Risotto Reis","🍚","Grundnahrung","2.49","1kg","350","7","76","0.7"
"Weizenmehl 405","🌾","Grundnahrung","0.79","1kg","339","10","70","1"
"Weizenmehl 550","🌾","Grundnahrung","0.89","1kg","338","10","70","1.1"
"Vollkornmehl","🌾","Grundnahrung","1.29","1kg","318","12","63","2.5"
"Dinkelmehl","🌾","Grundnahrung","1.79","1kg","339","12","68","2"
"Roggenmehl","🌾","Grundnahrung","1.09","1kg","325","10","68","1.5"
"Speisestärke","🌾","Grundnahrung","0.79","400g","349","0.3","87","0.1"
"Zucker weiß","🍬","Grundnahrung","0.99","1kg","397","0","100","0"
"Brauner Zucker","🍬","Grundnahrung","1.29","500g","380","0","95","0"
"Puderzucker","🍬","Grundnahrung","0.89","500g","397","0","100","0"
"Rohrzucker","🍬","Grundnahrung","1.49","500g","380","0","95","0"
"Honig","🍯","Grundnahrung","2.49","500g","304","0.4","80","0"
"Ahornsirup","🍯","Grundnahrung","3.99","250ml","270","0","67","0.1"
"Agavendicksaft","🍯","Grundnahrung","2.99","350g","310","0.3","78","0.2"
"Salz","🧂","Grundnahrung","0.39","1kg","0","0","0","0"
"Meersalz","🧂","Grundnahrung","0.99","500g","0","0","0","0"
"Pfeffer schwarz","🫙","Grundnahrung","1.49","Packung","251","11","39","3.4"
"Senf","🫙","Grundnahrung","0.89","250g","67","4","6","3.5"
"Ketchup","🫙","Grundnahrung","1.29","500g","97","1.5","23","0.2"
"Mayonnaise","🫙","Grundnahrung","1.49","500g","700","1.5","3","75"
"Sojasoße","🫙","Grundnahrung","1.29","250ml","53","8.1","4.9","0.1"
"Worchester Sauce","🫙","Grundnahrung","2.29","150ml","78","1.4","19","0"
"Tabasco","🫙","Grundnahrung","1.99","60ml","12","0.6","2.5","0.2"
"Sriracha","🫙","Grundnahrung","2.49","435ml","93","1.9","21","0.7"
"Harissa","🫙","Grundnahrung","1.99","200g","98","3.5","12","4.5"
"Tomatenmark","🫙","Grundnahrung","0.59","200g","68","4","11","0.4"
"Passata","🫙","Grundnahrung","0.99","700ml","32","1.6","5.5","0.3"
"Essig Apfel","🫙","Grundnahrung","0.99","750ml","14","0","2.5","0"
"Balsamico","🫙","Grundnahrung","1.99","500ml","88","0.5","22","0"
"Weinessig","🫙","Grundnahrung","0.79","500ml","19","0","0.5","0"
"Haferflocken","🌾","Grundnahrung","1.29","500g","357","13","61","7"
"Müsli","🌾","Grundnahrung","2.49","500g","368","8.5","70","7"
"Granola","🌾","Grundnahrung","3.49","400g","440","8","64","18"
"Cornflakes","🌾","Grundnahrung","1.99","375g","378","8","82","0.9"
"Couscous","🌾","Grundnahrung","1.29","500g","376","13","77","0.6"
"Bulgur","🌾","Grundnahrung","1.49","500g","342","12","70","1.3"
"Hirse","🌾","Grundnahrung","1.99","500g","378","11","73","4.2"
"Quinoa","🌾","Grundnahrung","3.99","400g","368","14","64","6.1"
"Grieß","🌾","Grundnahrung","0.89","500g","349","11","72","1"
"Paniermehl","🌾","Grundnahrung","0.89","400g","375","12","74","3.5"
"Polenta","🌾","Grundnahrung","1.29","500g","362","8.5","75","2.5"
"Backpulver","🫙","Grundnahrung","0.39","3er Pack","73","0","19","0"
"Natron","🫙","Grundnahrung","0.69","200g","0","0","0","0"
"Hefe trocken","🌾","Grundnahrung","0.49","7g","325","37","39","4"
"Hefe frisch","🌾","Grundnahrung","0.29","42g","90","12","8.5","1.5"
"Vanillezucker","🫙","Grundnahrung","0.49","3er Pack","397","0","100","0"
"Kakao Pulver","🫙","Grundnahrung","1.99","250g","228","20","14","11"
"Schokolade Zartbitter","🍫","Grundnahrung","0.89","100g","540","5","56","34"
"Schokolade Vollmilch","🍫","Grundnahrung","0.79","100g","535","7","59","30"
"Kuvertüre","🍫","Grundnahrung","1.99","200g","540","5","56","34"
"Rote Linsen","🫘","Hülsenfrüchte","1.49","500g","316","23","52","1.5"
"Braune Linsen","🫘","Hülsenfrüchte","1.29","500g","316","24","50","1.8"
"Grüne Linsen","🫘","Hülsenfrüchte","1.49","500g","310","24","50","1.5"
"Beluga Linsen","🫘","Hülsenfrüchte","2.49","500g","316","26","48","1"
"Kichererbsen","🫘","Hülsenfrüchte","1.79","500g","364","19","60","6"
"Kidney Bohnen","🫘","Hülsenfrüchte","1.49","500g","333","23","54","1.5"
"Weiße Bohnen","🫘","Hülsenfrüchte","1.29","500g","336","21","60","1"
"Schwarze Bohnen","🫘","Hülsenfrüchte","1.79","500g","341","22","60","1.5"
"Pintobohnen","🫘","Hülsenfrüchte","1.49","500g","347","21","63","1.2"
"Erbsen getrocknet","🫘","Hülsenfrüchte","1.29","500g","339","23","57","1.2"
"Tofu natur","🫘","Hülsenfrüchte","1.99","400g","76","8","1.5","4.5"
"Tofu geräuchert","🫘","Hülsenfrüchte","2.49","200g","140","15","2","8.5"
"Tempeh","🫘","Hülsenfrüchte","2.99","200g","192","19","9","11"
"Seitan","🫘","Hülsenfrüchte","3.49","200g","370","75","14","1.9"
"Walnüsse","🌰","Nüsse","3.99","200g","654","15","14","65"
"Mandeln","🌰","Nüsse","3.49","200g","576","21","22","49"
"Haselnüsse","🌰","Nüsse","3.49","200g","628","15","17","61"
"Cashews","🌰","Nüsse","4.99","200g","553","18","33","44"
"Erdnüsse","🥜","Nüsse","1.49","200g","567","26","16","49"
"Pistazien","🌰","Nüsse","4.99","200g","562","20","28","45"
"Macadamia","🌰","Nüsse","6.99","150g","718","8","14","76"
"Pekannüsse","🌰","Nüsse","5.99","150g","691","9","14","72"
"Paranüsse","🌰","Nüsse","4.99","200g","656","14","12","66"
"Pinienkerne","🌰","Nüsse","4.99","100g","673","14","13","68"
"Erdnussbutter","🥜","Nüsse","2.49","350g","588","25","20","51"
"Mandelmus","🌰","Nüsse","5.99","250g","580","21","22","50"
"Haselnussmus","🌰","Nüsse","5.99","250g","620","15","17","58"
"Kürbiskerne","🌰","Nüsse","3.49","200g","559","30","11","49"
"Sonnenblumenkerne","🌻","Nüsse","1.99","200g","584","21","20","51"
"Leinsamen","🌰","Nüsse","1.49","250g","534","18","29","42"
"Chiasamen","🌰","Nüsse","3.99","200g","486","17","42","31"
"Sesam","🌰","Nüsse","1.49","200g","573","18","23","50"
"Mohn","🌰","Nüsse","1.29","200g","525","18","28","43"
"Hanfsamen","🌰","Nüsse","4.99","250g","553","32","9","49"
"Flohsamenschalen","🌰","Nüsse","5.99","200g","200","2","78","1"
"Kokosraspeln","🥥","Nüsse","1.79","200g","604","5.6","24","57"
"Paprikapulver süß","🫙","Gewürze","0.99","50g","282","14","54","13"
"Paprikapulver scharf","🫙","Gewürze","0.99","50g","282","14","54","13"
"Paprikapulver geräuchert","🫙","Gewürze","1.49","50g","282","14","54","13"
"Cayennepfeffer","🫙","Gewürze","0.99","50g","318","12","57","17"
"Chilipulver","🫙","Gewürze","0.99","40g","314","13","54","15"
"Chiliflocken","🫙","Gewürze","0.99","40g","314","13","54","15"
"Currypulver","🫙","Gewürze","0.99","50g","325","13","58","14"
"Garam Masala","🫙","Gewürze","1.29","50g","351","13","51","14"
"Kreuzkümmel","🫙","Gewürze","0.99","50g","375","18","44","22"
"Koriandersamen","🫙","Gewürze","0.79","50g","298","12","55","18"
"Fenchelsamen","🫙","Gewürze","0.79","50g","345","16","52","15"
"Kümmel","🫙","Gewürze","0.79","50g","333","20","50","15"
"Anis","🫙","Gewürze","0.79","50g","337","18","50","16"
"Zimt","🫙","Gewürze","0.99","50g","247","4","80","1.2"
"Kardamom","🫙","Gewürze","1.99","50g","311","11","68","7"
"Nelken","🫙","Gewürze","0.99","25g","274","6","66","13"
"Muskat","🫙","Gewürze","1.49","25g","525","6","49","36"
"Piment","🫙","Gewürze","0.99","25g","263","6","72","9"
"Lorbeerblätter","🫙","Gewürze","0.79","5g","313","8","75","8"
"Thymian getrocknet","🫙","Gewürze","0.79","15g","276","10","68","7.4"
"Rosmarin getrocknet","🫙","Gewürze","0.79","15g","331","5","65","15"
"Oregano getrocknet","🫙","Gewürze","0.79","15g","265","9","68","4.3"
"Basilikum getrocknet","🫙","Gewürze","0.79","15g","233","22","48","4"
"Majoran getrocknet","🫙","Gewürze","0.79","15g","271","12","61","7"
